year,value,Division,NPC
2020,,Ang Mo Kio Police Division,Yishun North NPC
2020,,Ang Mo Kio Police Division,Yishun South NPC
2020,64.0,Bedok Police Division,Bedok NPC
2020,14.0,Bedok Police Division,Changi NPC
2020,76.0,Bedok Police Division,Geylang NPC
2020,36.0,Bedok Police Division,Marine Parade NPC
2020,27.0,Bedok Police Division,Pasir Ris NPC
2020,42.0,Bedok Police Division,Tampines NPC
2020,46.0,Jurong Police Division,Bukit Batok NPC
2020,36.0,Jurong Police Division,Bukit Panjang NPC
2020,63.0,Jurong Police Division,Choa Chu Kang NPC
2020,46.0,Jurong Police Division,Jurong West NPC
2020,57.0,Jurong Police Division,Nanyang NPC
2020,,Jurong Police Division,Woodlands NPC
2020,,Jurong Police Division,Woodlands East NPC
2020,,Jurong Police Division,Woodlands West NPC
2020,47.0,Woodlands Police Division,Woodlands East NPC
2020,43.0,Woodlands Police Division,Woodlands West NPC
2020,59.0,Woodlands Police Division,Yishun North NPC
2020,26.0,Woodlands Police Division,Yishun South NPC
2020,46.0,Woodlands Police Division,Sembawang NPC
2020,6.0,Woodlands Police Division,Checkpoint
2021,65.0,Central Police Division,Bukit Merah East NPC
2021,91.0,Central Police Division,Marina Bay NPC
2021,73.0,Central Police Division,Rochor NPC
2021,41.0,Clementi Police Division,Bukit Merah West NPC
2021,32.0,Clementi Police Division,Clementi NPC
2021,45.0,Clementi Police Division,Jurong East NPC
2021,71.0,Clementi Police Division,Queenstown NPC
2021,37.0,Tanglin Police Division,Bishan NPC
2021,33.0,Tanglin Police Division,Bukit Timah NPC
2021,45.0,Tanglin Police Division,Kampong Java NPC
2021,66.0,Tanglin Police Division,Orchard NPC
2021,49.0,Tanglin Police Division,Toa Payoh NPC
2021,35.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2021,30.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2021,56.0,Ang Mo Kio Police Division,Hougang NPC
2021,43.0,Ang Mo Kio Police Division,Punggol NPC
2021,,Ang Mo Kio Police Division,Sembawang NPC
2021,83.0,Ang Mo Kio Police Division,Sengkang NPC
2021,39.0,Ang Mo Kio Police Division,Serangoon NPC
2021,,Ang Mo Kio Police Division,Yishun North NPC
2021,,Ang Mo Kio Police Division,Yishun South NPC
2021,80.0,Bedok Police Division,Bedok NPC
2021,31.0,Bedok Police Division,Changi NPC
2021,73.0,Bedok Police Division,Geylang NPC
2021,33.0,Bedok Police Division,Marine Parade NPC
2021,33.0,Bedok Police Division,Pasir Ris NPC
2021,57.0,Bedok Police Division,Tampines NPC
2021,52.0,Jurong Police Division,Bukit Batok NPC
2021,32.0,Jurong Police Division,Bukit Panjang NPC
2021,61.0,Jurong Police Division,Choa Chu Kang NPC
2021,63.0,Jurong Police Division,Jurong West NPC
2021,53.0,Jurong Police Division,Nanyang NPC
2021,,Jurong Police Division,Woodlands NPC
2021,,Jurong Police Division,Woodlands East NPC
2021,,Jurong Police Division,Woodlands West NPC
2021,45.0,Woodlands Police Division,Woodlands East NPC
2021,40.0,Woodlands Police Division,Woodlands West NPC
2021,43.0,Woodlands Police Division,Yishun North NPC
2021,27.0,Woodlands Police Division,Yishun South NPC
2021,36.0,Woodlands Police Division,Sembawang NPC
2021,4.0,Woodlands Police Division,Checkpoint
